Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-11-17,07:17:07,2022,8,2022,6495,GILDAN,BOX 62 (KW)
2023-11-17,07:40:18,2030,1,2030,6627,GILDAN,BOX 62 (GW)
2023-11-17,08:07:07,3047,6,3047,6497,GILDAN,BOX 63 (KW)
2023-11-17,09:11:28,4034,5,4000,6496,GILDAN,BOX 63 (GW)
2023-11-17,09:30:49,2023,4,2023,6499,GILDAN,BOX 64 (KW)
2023-11-17,10:02:56,3043,6,3043,6498,GILDAN,BOX 64 (GW)
2023-11-17,10:29:21,2021,7,2021,6501,GILDAN,BOX 65 (KW)
2023-11-17,10:57:54,2020,4,2019,6501,GILDAN,BOX 65 (GW)
2023-11-17,11:10:04,130,0,124,6542,EMPIRE,NORPLAS FG
2023-11-17,11:26:37,1209,0,1209,6542,EMPIRE,MANITO PCB
2023-11-17,13:50:39,1996,6,1996,6657,FRUIT,K13.24K17
2023-11-17,14:11:40,2006,4,2006,6656,FRUIT,K13.24K13
