Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-11-24,08:10:13,9969,8,9104,6797,ELCATEX,SM 03
2023-11-24,08:21:17,1129,0,1129,6796,ELCATEX,SM 02
2023-11-24,09:20:11,3045,6,3045,6795,ELCATEX,SM 01
2023-11-24,09:35:31,1032,13,1032,6802,ELCATEX,SM 08
2023-11-24,10:05:13,1926,3,1926,6794,ELCATEX,SM 0
2023-11-24,10:19:47,1030,6,1030,6801,ELCATEX,SM 07
2023-11-24,10:53:04,3064,6,3064,6798,ELCATEX,SM 04
2023-11-24,11:16:28,1029,3,1029,6783,GILDAN,BOX 65 (KW)
2023-11-24,12:28:02,3048,5,3048,6782,GILDAN,BOX 64 (KW)
2023-11-24,13:12:27,5078,10,5078,6781,GILDAN,BOX 64 (GW)
