Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-11-21,07:24:19,2049,10,2049,6698,fruit,k 13 24G13
2023-11-21,07:48:59,2114,4,2114,6675,ELCATEX,BOX DT-04
2023-11-21,08:10:51,1021,15,1021,6676,ELCATEX,BOX DT-05
2023-11-21,08:48:13,1020,2,1019,6674,ELCATEX,BOX DT-03
2023-11-21,09:12:29,2078,4,2078,6673,ELCATEX,BOX DT-02
2023-11-21,09:45:03,3027,3,3027,6664,ELCATEX,SM 02
2023-11-21,10:19:01,3037,7,3037,6663,ELCATEX,SM 01
2023-11-21,10:36:19,1031,4,1031,6670,ELCATEX,SM 08
2023-11-21,11:12:34,2126,9,2000,6736,FRUIT,k 13 24G13
2023-11-21,11:33:45,1896,0,1896,6736,FRUIT,k 13 24G13
2023-11-21,12:42:23,2008,5,2000,6669,ELCATEX,SM 07
2023-11-21,13:10:51,2084,8,2083,6662,ELCATEX,SM 0
2023-11-21,14:09:27,6067,4,6067,6668,ELCATEX,SM 06
2023-11-21,14:54:14,4827,5,4827,6666,ELCATEX,SM 04
