Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-04,07:25:54,2042,12,2041,7064,AVENT,70017420 KDF
2023-12-04,07:57:13,2026,3,2024,7063,AVENT,70109048 KDF
2023-12-04,08:53:48,2026,6,2025,7168,ELCATEX,R-01
2023-12-04,09:50:05,6098,4,6098,7215,GILDAN,BOX 58
2023-12-04,12:08:18,6037,45,6037,7212,GILDAN,BOX 50
2023-12-04,12:32:42,2023,13,2023,7236,FRUIT,LHU.24G13
2023-12-04,13:02:28,1022,6,1022,7235,FRUIT,J7D.20G17
2023-12-04,13:33:42,1129,0,1000,7234,FRUIT,J7D.20G13
2023-12-04,13:48:39,931,0,931,7205,GILDAN,BOX 202
2023-12-04,14:12:29,2009,4,2000,7140,GILDAN,BOX 5 (KW)
