Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-19,07:27:04,2040,11,2040,7760,AVEN,70017340 KDF
2023-12-19,07:53:13,1931,6,1930,7759,AVENT,70017337 KDF
2023-12-19,08:20:29,1517,5,1515,7758,AVENT,70017420 KDF
2023-12-19,08:53:43,1013,9,1013,7757,AVENT,70109048 KDF
2023-12-19,09:42:07,3041,10,3041,7756,AVENT,70113740 KDF
2023-12-19,10:09:31,1070,0,1070,7788,ELCATEX,DT 03
2023-12-19,10:29:30,1029,0,1029,7787,ELCATEX,DT 02
2023-12-19,10:51:59,1060,0,1060,7786,ELCATEX,DT 01
2023-12-19,11:15:19,1021,0,1021,7789,ELCATEX,DT 04
2023-12-19,12:32:30,2076,0,2075,7790,ELCATEX,R-01
2023-12-19,13:51:55,8113,19,8113,7780,ELCATEX,SM 03
