Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-07,08:22:28,7373,0,7373,7243,GILDAN,BOX 5 (GW)
2023-12-07,09:04:34,1526,3,1526,7297,GILDAN,BOX 65 (KW)
2023-12-07,09:25:34,1534,3,1532,7296,GILDAN,BOX 65 (GW)
2023-12-07,09:44:31,2013,3,20,7295,GILDAN,BOX 64 (KW)
2023-12-07,10:11:29,1929,5,1929,7294,GILDAN,BOX 64 (KW)
2023-12-07,10:47:12,4078,8,4078,7293,GILDAN,BOX 63 (KW)
2023-12-07,12:28:50,6020,5,6019,7292,GILDAN,BOX 63 (GW)
2023-12-07,13:04:51,3144,3,3143,7291,GILDAN,BOX 62 (KW)
2023-12-07,13:31:21,2034,3,2034,7427,FRUIT,K13.24K13
2023-12-07,13:52:15,2024,5,2024,7426,FRUIT,24G13.0.0
