Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-15,07:36:24,4090,4,4089,7668,ELCATEX,ATC-05
2023-12-15,07:52:02,1038,7,1038,7671,ELCATEX,KOI 03
2023-12-15,08:12:11,1022,6,1021,7670,ELCATEX,KOI 02
2023-12-15,08:47:29,1046,3,1045,7669,ELCATEX,KOI 01
2023-12-15,09:03:45,1034,5,1033,7674,ELCATEX,KOI 06
2023-12-15,09:25:37,1019,5,1019,7673,ELCATEX,KOI 05
2023-12-15,09:45:33,1035,8,1034,7672,ELCATEX,KOI 04
2023-12-15,10:29:30,1116,5,1110,7680,ONTEX,24X15.125X12
2023-12-15,11:01:55,2041,5,2041,7679,ONTEX,21X15.125X11
2023-12-15,13:11:54,8048,16,4048,7685,GILDAN,BOX 64 (GW)
2023-12-15,14:26:33,8037,13,8037,7684,GILDAN,BOX 63 (GW)
2023-12-15,15:59:03,4062,0,4062,7686,GILDAN,BOX 65 (GW)
