Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-08,07:22:10,2067,7,2067,7341,ELCATEX,DT 02
2023-12-08,07:37:27,1025,3,1025,7344,ELCATEX,DT 05
2023-12-08,08:13:40,3097,5,3096,7343,ELCATEX,DT 04
2023-12-08,08:50:30,1041,4,1041,7342,ELCATEX,DT 03
2023-12-08,10:07:18,8959,4,8958,7334,ELCATEX,SM 03
2023-12-08,10:38:17,3105,4,3105,7332,ELCATEX,SM 01
2023-12-08,11:03:21,2017,3,2017,7338,ELCATEX,SM 07
2023-12-08,12:34:27,5085,12,5085,7337,ELCATEX,SM 06
2023-12-08,13:07:26,3051,8,3051,7335,ELCATEX,SM 04
2023-12-08,13:39:04,3039,5,3039,7333,ELCATEX,SM 02
