Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-11-27,07:19:19,4094,10,4000,6780,GILDAN,BOX 63 (KW)
2023-11-27,07:52:42,4038,2,4000,6779,GILDAN,BOX 63 (GW)
2023-11-27,08:12:51,1527,3,1520,6778,GILDAN,BOX 62 (KW)
2023-11-27,08:49:35,2104,4,2104,6934,GILDAN,BOX 62 (KW)
2023-11-27,09:09:08,1541,3,1541,6777,GILDAN,BOX 62 (GW)
2023-11-27,09:19:17,119,2,119,6819,EMPIRE,NORPLAS FG
2023-11-27,09:37:14,1321,2,1320,6819,EMPIRE,MANITO PCB
2023-11-27,10:53:05,7658,4,7658,6819,EMPIRE,PETRI
2023-11-27,11:08:32,1027,10,1027,6992,FRUIT,J7D.24G17
2023-11-27,11:31:05,1066,5,1066,6991,FRUIT,J7D.24G17
2023-11-27,12:39:09,1009,5,1009,6990,FRUIT,J7D.20G13
2023-11-27,12:59:10,1020,4,1020,6989,FRUIT,K13.20G10
2023-11-27,14:06:54,8064,10,8064,6815,GILDAN,BOX 2 (GW)
2023-11-27,14:37:18,1029,4,1029,6907,GILDAN,BOX 36 (GW)
2023-11-27,14:48:16,517,0,500,6818,GILDAN,BOX D (KW)
2023-11-27,15:54:40,6120,12,6120,6817,GILDAN,BOX D (KW)
2023-11-27,16:25:29,2031,5,2000,6903,GILDAN,BOX 5 (KW)
