Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2024-01-08,07:43:28,6133,0,6000,7980,DELPHI,09004200
2024-01-08,08:08:57,2084,8,2084,8092,KYUNGSHIN,RSCO-231411-
2024-01-08,08:46:06,1000,4,1000,8093,KYUNGSHIN,RSCO-231409-
2024-01-08,09:17:35,1131,4,1131,8093,KYUNGSHIN,RSCO-231409-
2024-01-08,09:25:19,219,5,219,8031,EMPIRE,NORPLAS FG
2024-01-08,09:41:33,1021,0,1021,8031,EMPIRE,MANITO PCB
2024-01-08,11:02:02,8958,2,8958,8031,EMPIRE,PETRI
2024-01-08,12:30:04,4072,0,4000,8137,FRUIT,24G13.0.0
2024-01-08,13:07:45,2907,6,2907,7993,ELCATEX,SM 10
2024-01-08,13:48:08,4073,8,4073,7992,ELCATEX,SM 09
