Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
12/13/2023,7:09:28,1048,7,1048,7508,ELCATEX,DT 03
12/13/2023,7:26:45,1048,3,1048,7505,ELCATEX,DT 0
12/13/2023,8:22:58,4090,4,4090,7509,ELCATEX,DT 04
12/13/2023,8:50:07,524,7,524,7588,FRUIT,J7D.20G09
12/13/2023,9:21:53,1025,26,1025,7590,FRUIT,J7D.24G17
12/13/2023,9:48:51,1526,3,1525,7591,FRUIT,J7D.24K10
12/13/2023,10:34:07,3057,0,3057,7589,FRUIT,J7D.20G13
12/13/2023,11:08:31,2067,0,2067,7592,FRUIT,J7D.24G13
12/13/2023,12:20:43,2998,0,2968,7492,GILDAN,BOX 64 (KW)
12/13/2023,12:50:57,3039,2,3039,7491,GILDAN,BOX 64 (GW)
12/13/2023,13:36:45,4071,5,4070,7488,GILDAN,BOX 62 (KW)
12/13/2023,14:29:39,6048,22,6048,7490,GILDAN,BOX 63 (KW)
