Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2024-01-10,07:37:27,2732,4,2732,8180,ELCATEX,BOXC1
2024-01-10,08:54:40,2039,23,2000,8207,FRUIT,20D13.0.0
2024-01-10,09:08:16,1029,8,1000,7990,ELCATEX,SM-07
2024-01-10,09:24:30,958,14,958,7991,ELCATEX,SM-08
2024-01-10,09:48:45,1832,6,1832,7983,ELCATEX,BOX.0
2024-01-10,10:11:13,2048,6,2000,7984,ELCATEX,SM-01
2024-01-10,10:48:14,3085,1,3000,8243,GILDAN,BOX79
2024-01-10,11:18:19,1892,3,1892,7985,ELCATEX,SM02
2024-01-10,12:27:45,2883,3,2883,7987,ELCATEX,SM-04
2024-01-10,13:58:42,10006,17,10000,7986,ELCATEX,SM-03
2024-01-10,14:59:11,15049,9,500,8126,LEAR-HSCO,ASCO-231411
2024-01-10,15:46:08,3003,8,3000,8165,KYUNGSHIN,RSCO-231411-
