Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
11/27/2023,8:09:02,7999,0,7999,6799,ELCATEX,SM-05
11/27/2023,9:29:54,6028,5,6028,6912,DELPHI,C0018812
11/27/2023,11:22:26,8977,11,8977,6910,DELPHI,9004200
11/27/2023,12:32:44,2055,6,2055,6987,FRUIT,20C10.0.0
11/27/2023,13:03:46,1983,4,1983,6988,FRUIT,24K17.0.0
11/27/2023,13:25:46,1033,6,1033,6959,ELCATEX,SM-10
11/27/2023,14:22:16,3031,4,3031,6958,ELCATEX,SM-09
11/27/2023,15:10:37,5072,3,5072,6955,ELCATEX,SM-06
11/27/2023,15:42:21,3034,3,3034,6950,ELCATEX,SM-01
11/27/2023,16:09:13,4068,5,1029,6957,ELCATEX,SM-08
11/27/2023,16:23:17,1029,2,1029,6956,ELCATEX,SM-07
11/27/2023,16:52:54,2076,3,2076,6949,ELCATEX,SM-0
