Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-13,07:18:50,2079,5,2000,7496,ELCATEX,SM02
2023-12-13,07:34:09,1004,3,1000,7501,ELCATEX,SM-07
2023-12-13,07:55:29,2078,5,2000,7494,ELCATEX,BOX.0
2023-12-13,10:01:11,12062,12,12000,7499,ELCATES,SM-05
2023-12-13,10:27:20,2037,5,2000,7503,ELCATEX,SM-09
2023-12-13,10:56:31,1995,5,1995,7510,ELCATEX,SM-10
2023-12-13,12:33:21,4007,3,2000,7586,FRUIT,24G10.0.0
2023-12-13,12:33:28,4007,3,2000,7583,FRUIT,20D13.0.0
2023-12-13,13:02:23,1969,9,1969,7584,FRUIT,20G09.00
2023-12-13,13:02:43,1969,9,1000,7582,FRUIT,20D10.0.0
2023-12-13,13:22:53,1001,7,1000,7582,FRUIT,20D10.0.0
2023-12-13,14:29:50,2523,4,2523,7571,INALMA,TJYI101 20 L
