Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2024-01-04,08:46:30,7185,5,7185,7880,EMPIRE,NORPLAS.FG
2024-01-04,09:23:58,2709,5,2500,7975,ELCATEX,UTTEXA DTY
2024-01-04,10:02:31,2336,3,2336,8002,ELCATEX,21X15X16
2024-01-04,10:36:20,3036,5,3000,7959,ELCATEX,R-01
2024-01-04,11:04:35,1080,5,1000,8019,FRUIT,12809.0.0
2024-01-04,11:26:34,1038,6,1000,8020,FRUIT,12A06.0.0
2024-01-04,12:23:53,1028,8,1000,8021,FRUIT,20D10.0.0
2024-01-04,12:48:49,2043,8,2000,8023,FRUIT,20G10.0.0
2024-01-04,13:20:58,2049,14,2000,8022,FRUIT,20D13.0.0
2024-01-04,13:39:15,1024,4,1000,8025,FRUIT,24G13.0.0
