Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-08,08:41:08,9614,10,9600,7414,ELCATEX,29X12X12
2023-12-08,09:06:13,2024,4,2000,7415,ELCATEX,21X15X16
2023-12-08,09:32:11,1420,3,1420,7351,EMPIRE,MANITO
2023-12-08,09:32:20,1420,3,1400,7351,EMPIRE,MANITO
2023-12-08,10:55:28,8576,3,8576,7351,EMPIRE,PETRI
2023-12-08,11:21:03,1024,12,1000,7485,FRUIT,24G17
2023-12-08,12:34:09,2032,5,2000,7484,FRUIT,24G13
2023-12-08,13:23:26,2019,4,2000,7482,FRUIT,20G13.0.0
2023-12-08,13:36:19,1031,3,1000,7481,FRUIT,24G13.0.0
2023-12-08,13:58:20,1034,4,1000,7480,FRUIT,20G13.0.0
2023-12-08,14:26:46,2041,5,2000,7479,FRUIT,24K13.0.0
2023-12-08,15:04:13,2044,3,2000,7478,FRUIT,20G07.0.0
