Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-11,07:25:22,1158,4,1158,7469,AVENT,70113740
2023-12-11,08:05:59,2021,3,2000,7470,AVENT,70109048
2023-12-11,09:02:20,2038,5,2000,7471,AVENT,70017337
2023-12-11,10:09:01,3489,14,3489,7434,GILDAN,BOX-50
2023-12-11,11:02:37,3989,10,3989,7432,GILDAN,BOX-40
2023-12-11,12:27:45,3894,4,3894,7436,GILDAN,BOX-58
2023-12-11,14:17:30,9865,10,9865,7435,GILDAN,BOX-57
2023-12-11,15:06:00,3872,5,3872,7433,GILDAN,BOX-42
2023-12-11,15:43:21,3043,3,3000,7439,RKI,F-3045
2023-12-11,16:16:03,3039,5,3000,7438,RKI,F.327
2023-12-11,16:49:48,3036,5,3000,7440,RKI,F-3046
