Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-12-12,07:10:14,1031,5,1000,7533,FRUIT,20D10.0.0
2023-12-12,07:37:19,2008,15,2000,7534,FRUIT,20D13.0.0
2023-12-12,07:59:16,1005,5,1000,7535,FRUIT,24D09.0.0
2023-12-12,09:17:28,2803,13,2600,7560,GILDAN,BOX-72
2023-12-12,09:58:57,2500,6,2400,7561,GILDAN,NKA-24
2023-12-12,10:28:16,3038,3,3000,7495,ELCATEX,SM-01
2023-12-12,10:45:24,1032,5,1000,7502,ELCATEX,SM-08
2023-12-12,11:09:18,2025,5,2000,7500,ELCATEX,SM-06
2023-12-12,12:36:44,5073,3,5000,7498,ELCATEX,SM-04
2023-12-12,13:55:14,8974,6,8974,7497,ELCATEX,SM-03
