Date,Time,TOTALES,DEFECTOS,PEDIDOS,#ORDEN,CLIENTE,ESTILO
2023-11-15,07:19:38,2053,0,2020,6462,FRUIT,K13.20G13
2023-11-15,07:54:18,4044,0,4044,6502,FRUIT,K13.20G13
2023-11-15,08:08:08,1029,3,1029,6394,ELCATEX,SM 02
2023-11-15,08:25:34,1022,0,1022,6392,ELCATEX,SM 0
2023-11-15,09:05:00,1984,12,1984,6399,ELCATEX,SM 07
2023-11-15,09:27:47,2032,9,2032,6396,ELCATEX,SM 04
2023-11-15,10:09:35,2023,5,2023,6503,FRUIT,K13.24K13
2023-11-15,10:31:09,2038,5,2038,6504,FRUIT,K13.24K17
2023-11-15,11:21:22,2475,0,2000,6466,FRUIT,LHU.24G13
2023-11-17,07:17:07,2022,8,2022,6495,GILDAN,BOX 62 (KW)
2023-11-17,07:40:18,2030,1,2030,6627,GILDAN,BOX 62 (GW)
2023-11-17,08:07:07,3047,6,3047,6497,GILDAN,BOX 63 (KW)
2023-11-17,09:11:28,4034,5,4000,6496,GILDAN,BOX 63 (GW)
2023-11-17,09:30:49,2023,4,2023,6499,GILDAN,BOX 64 (KW)
2023-11-17,10:02:56,3043,6,3043,6498,GILDAN,BOX 64 (GW)
2023-11-17,10:29:21,2021,7,2021,6501,GILDAN,BOX 65 (KW)
2023-11-17,10:57:54,2020,4,2019,6501,GILDAN,BOX 65 (GW)
2023-11-17,11:10:04,130,0,124,6542,EMPIRE,NORPLAS FG
2023-11-17,11:26:37,1209,0,1209,6542,EMPIRE,MANITO PCB
2023-11-17,13:50:39,1996,6,1996,6657,FRUIT,K13.24K17
2023-11-17,14:11:40,2006,4,2006,6656,FRUIT,K13.24K13
2023-11-21,07:24:19,2049,10,2049,6698,fruit,k 13 24G13
2023-11-21,07:48:59,2114,4,2114,6675,ELCATEX,BOX DT-04
2023-11-21,08:10:51,1021,15,1021,6676,ELCATEX,BOX DT-05
2023-11-21,08:48:13,1020,2,1019,6674,ELCATEX,BOX DT-03
2023-11-21,09:12:29,2078,4,2078,6673,ELCATEX,BOX DT-02
2023-11-21,09:45:03,3027,3,3027,6664,ELCATEX,SM 02
2023-11-21,10:19:01,3037,7,3037,6663,ELCATEX,SM 01
2023-11-21,10:36:19,1031,4,1031,6670,ELCATEX,SM 08
2023-11-21,11:12:34,2126,9,2000,6736,FRUIT,k 13 24G13
2023-11-21,11:33:45,1896,0,1896,6736,FRUIT,k 13 24G13
2023-11-21,12:42:23,2008,5,2000,6669,ELCATEX,SM 07
2023-11-21,13:10:51,2084,8,2083,6662,ELCATEX,SM 0
2023-11-21,14:09:27,6067,4,6067,6668,ELCATEX,SM 06
2023-11-21,14:54:14,4827,5,4827,6666,ELCATEX,SM 04
2023-11-22,08:49:39,9700,15,9700,6665,ELCATEX,SM 03
2023-11-22,10:37:55,11862,15,11862,6667,ELCATEX,SM 05
2023-11-22,11:32:11,4964,5,4964,6772,ELCATEX,UTEXA DTY
2023-11-22,13:37:54,7850,8,7850,6722,GILDAN,BOX 1 (GW)
2023-11-22,14:10:54,503,8,503,6776,GILDAN,BOX 202 (GW)
2023-11-22,14:37:48,1988,3,1988,6790,FRUIT,K13.24K17
2023-11-22,15:16:32,1996,10,1994,6699,FRUIT,K13.24K13
2023-11-22,15:45:10,2039,10,2039,6895,FRUIT,24G13.0.0
2023-11-23,07:45:23,1140,0,1032,6897,FRUIT,J7D.20G13
2023-11-23,08:02:36,787,0,787,6896,FRUIT,J7D.20G09
2023-11-23,08:53:00,2012,15,2012,6791,FRUIT,LHU.24G13
2023-11-23,12:28:29,14833,0,14831,6724,GILDAN,BOX 5 GW
2023-11-23,13:02:59,2546,5,2000,6804,ELCATEX,SM 10
2023-11-23,13:29:08,2498,0,2498,6803,ELCATEX,SM 09
2023-11-24,08:10:13,9969,8,9104,6797,ELCATEX,SM 03
2023-11-24,08:21:17,1129,0,1129,6796,ELCATEX,SM 02
2023-11-24,09:20:11,3045,6,3045,6795,ELCATEX,SM 01
2023-11-24,09:35:31,1032,13,1032,6802,ELCATEX,SM 08
2023-11-24,10:05:13,1926,3,1926,6794,ELCATEX,SM 0
2023-11-24,10:19:47,1030,6,1030,6801,ELCATEX,SM 07
2023-11-24,10:53:04,3064,6,3064,6798,ELCATEX,SM 04
2023-11-24,11:16:28,1029,3,1029,6783,GILDAN,BOX 65 (KW)
2023-11-24,12:28:02,3048,5,3048,6782,GILDAN,BOX 64 (KW)
2023-11-24,13:12:27,5078,10,5078,6781,GILDAN,BOX 64 (GW)
2023-11-27,07:19:19,4094,10,4000,6780,GILDAN,BOX 63 (KW)
2023-11-27,07:52:42,4038,2,4000,6779,GILDAN,BOX 63 (GW)
2023-11-27,08:12:51,1527,3,1520,6778,GILDAN,BOX 62 (KW)
2023-11-27,08:49:35,2104,4,2104,6934,GILDAN,BOX 62 (KW)
2023-11-27,09:09:08,1541,3,1541,6777,GILDAN,BOX 62 (GW)
2023-11-27,09:19:17,119,2,119,6819,EMPIRE,NORPLAS FG
2023-11-27,09:37:14,1321,2,1320,6819,EMPIRE,MANITO PCB
2023-11-27,10:53:05,7658,4,7658,6819,EMPIRE,PETRI
2023-11-27,11:08:32,1027,10,1027,6992,FRUIT,J7D.24G17
2023-11-27,11:31:05,1066,5,1066,6991,FRUIT,J7D.24G17
2023-11-27,12:39:09,1009,5,1009,6990,FRUIT,J7D.20G13
2023-11-27,12:59:10,1020,4,1020,6989,FRUIT,K13.20G10
2023-11-27,14:06:54,8064,10,8064,6815,GILDAN,BOX 2 (GW)
2023-11-27,14:37:18,1029,4,1029,6907,GILDAN,BOX 36 (GW)
2023-11-27,14:48:16,517,0,500,6818,GILDAN,BOX D (KW)
2023-11-27,15:54:40,6120,12,6120,6817,GILDAN,BOX D (KW)
2023-11-27,16:25:29,2031,5,2000,6903,GILDAN,BOX 5 (KW)
2023-11-28,09:07:00,15219,30,15219,6902,GILDAN,BOX 5 (GW)
2023-11-28,09:26:50,1045,0,1000,6905,GILDAN,BOX 7 (kW)
2023-11-28,10:58:24,9992,9,9992,6904,GILDAN,BOX 7 (GW)
2023-11-28,12:41:57,6101,16,6101,6906,GILDAN,BOX 8 (GW)
2023-11-29,07:56:36,15040,4,15040,6816,GILDAN,BOX 3 (GW)
2023-11-29,09:22:56,8075,9,8074,6936,GILDAN,BOX 63 (GW)
2023-11-29,10:32:53,8062,6,8061,6936,GILDAN,BOX 63 (KW)
2023-11-29,11:00:19,2046,7,2045,7037,GILDAN,BOX 62 (GW)
2023-11-29,11:18:54,2027,3,2027,7038,GILDAN,BOX 64 (KW)
2023-11-29,13:07:00,7163,11,7000,6937,GILDAN,BOX 64 (GW)
2023-11-29,13:23:22,1877,3,1877,7003,GILDAN,BOX 65 (KW)
2023-11-30,07:24:39,2027,9,2027,7062,FRUI,24K17 DW
