Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
1/3/2024,7:11:43,901,0,901,7858,FRUIT,K13-08607
1/3/2024,7:46:55,1028,0,1028,7773,FRUIT,K13-20D10
1/3/2024,7:58:41,315,2,300,7860,FRUIT,K13-16A10
1/3/2024,9:16:44,2029,2,2029,7869,FRUIT,LHU-24G13
1/3/2024,9:46:49,801,0,801,7885,EMPIRE,DECOMA FONDO
1/3/2024,10:12:19,1397,0,1397,7882,EMPIRE,TRW-263
1/3/2024,10:28:11,397,0,397,7884,EMPIRE,STE-0270
1/3/2024,10:46:04,615,3,615,7881,EMPIRE,EATON
1/3/2024,11:08:12,1183,3,1183,7881,EMPIRE,MANITO
1/3/2024,12:21:13,829,0,829,7886,EMPIRE,DECOMA-TAPA
1/3/2024,13:18:02,668,0,668,7887,EMPIRE,TRW-TAPA
1/3/2024,13:30:11,216,2,200,7890,EMPIRE,MAGNA-FONDO
1/3/2024,13:56:03,220,2,200,7899,EMPIRE,TAPA-PCB
1/3/2024,14:08:40,201,2,201,7900,EMPIRE,FONDO-PCB
1/3/2024,15:07:10,531,2,100,7906,EMPIRE,URUTIAS
1/3/2024,15:23:29,216,2,200,7968,AVENT,70038808
1/3/2024,16:11:47,2558,2,2558,7818,GILDAN,COVER-L382
