Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/2/2023,8:18:30,4200,5,4200,5847,TIARA,TYV-BOX3
11/2/2023,9:17:03,3101,5,3000,6054,FRUIT,K13-10807
11/2/2023,10:22:38,1997,5,1997,6055,FRUIT,K13-13C07
11/2/2023,10:43:11,520,3,500,6056,FRUIT,K13-16A07
11/2/2023,11:00:46,1029,4,1000,6057,FRUIT,K13-20C09
11/2/2023,11:17:21,318,2,300,6059,FRUIT,K13-24D10
11/2/2023,12:40:41,2053,0,2100,6060,ELCATEX,121/2X121/4X
11/2/2023,13:25:20,1176,4,1100,5985,EMPIRE,MANITO
11/2/2023,13:49:43,1990,5,1990,5986,EMPIRE,TRW0263
11/2/2023,14:07:43,296,5,296,5988,EMPIRE,STE0270
11/2/2023,14:33:03,1202,2,1200,5989,EMPIRE,DECOMA FONDO
11/2/2023,14:51:03,1223,3,1200,5990,EMPIRE,DECOMA-TAPA
11/2/2023,15:02:25,216,2,200,5991,EMPIRE,MAGNA-TAPA
11/2/2023,15:12:59,220,2,200,5992,EMPIRE,MAGNA-FONDO
11/2/2023,15:28:19,340,0,100,5998,EMPIRE,TAPA-PCB
11/2/2023,15:47:10,116,2,100,5999,EMPIRE,FONDO-PCB
