Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
10/23/2023,7:06:44,315,2,300,5521,AVENT,70038808
10/23/2023,7:26:57,715,0,700,5462,EMPIRE,EATON
10/23/2023,7:49:23,1485,5,1485,5462,EMPIRE,MANITO
10/23/2023,8:18:05,1798,10,1798,5463,EMPIRE,TRW0263
10/23/2023,8:30:54,290,2,290,5465,EMPIRE,STE0270
10/23/2023,8:48:17,696,3,696,5466,EMPIRE,DECOMA FONDO
10/23/2023,9:12:13,732,2,700,5467,EMPIRE,DECOMA-TAPA
10/23/2023,9:18:32,225,3,200,5468,EMPIRE,TAPA-MAGNA
10/23/2023,9:37:13,224,4,200,5469,EMPIRE,MAGNA-FONDO
10/23/2023,9:48:10,118,4,100,5471,EMPIRE,ATM
10/23/2023,10:24:55,1994,4,1994,5444,INHMESA,GRAG-0650-E
10/23/2023,10:58:51,1503,3,1500,5445,INHMESA,GRAG-0425
10/23/2023,11:11:42,487,3,487,5446,INHMESA,GRAG-0575
10/23/2023,11:29:00,495,2,495,5447,INHMESA,GRAG-0625
10/23/2023,11:33:36,501,2,501,5448,INHMESA,GRAG-1000
10/23/2023,11:40:03,477,2,477,5449,INHMESA,GRAG-1100
10/23/2023,11:54:29,494,2,494,5449,INHMESA,GRAG-1100
10/23/2023,12:31:08,516,2,500,5450,INHMESA,GRAP-O425-GS
10/23/2023,12:50:37,522,2,500,5451,INHMESA,GRAP-0575-GS
10/23/2023,13:09:10,1032,5,1000,5452,INHMESA,GRAG-O425-GS
10/23/2023,13:31:14,1011,5,1000,5453,INHMESA,GRAG-O475-GS
10/23/2023,13:55:46,1023,5,1000,5454,INHMESA,GRAG-0575-GS
10/23/2023,14:08:17,556,5,500,5455,INHMESA,GRAG-0625-GS
10/23/2023,14:41:36,1021,5,1000,5456,INHMESA,GRAG-1100-GS
10/23/2023,15:16:41,1000,2,1000,5457,PTS,1040054
10/23/2023,15:32:58,83,3,60,5645,FRUIT,K13-24D10
10/23/2023,16:00:03,2068,4,2000,5643,FRUIT,k13-13C10
10/23/2023,17:45:39,3687,30,3687,5642,FRUIT,K13-07606
10/23/2023,17:59:12,500,3,500,5458,BAY ISLAND,16X12X6
10/23/2023,18:51:29,2326,3,1326,5459,BAY-ISLAND,X-6
