Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/5/2023,7:29:54,3064,3,3000,7071,INHMESA,GRAG-0650-E
12/5/2023,8:01:46,1028,3,1000,7072,INHMESA,GRAG-O475-GS
12/5/2023,8:38:13,570,3,500,7073,INHMESA,GRAG-O750-GS
12/5/2023,8:38:17,570,3,500,7074,INHMESA,GRAG-1100-GS
12/5/2023,8:54:26,529,3,500,7074,INHMESA,GRAG-1100-GS
12/5/2023,10:24:53,6476,3,6400,7075,INHMESA,GRAG-0975-B
12/5/2023,11:26:14,5017,3,5000,7174,ELCATEX,121/2X121/x8
12/5/2023,12:53:13,4034,3,4034,7241,ELCATEX,10X10X10
12/5/2023,13:09:21,366,2,366,7256,FRUIT,K13-24K09
12/5/2023,13:21:00,218,3,218,7254,FRUIT,K13-24D10
12/5/2023,13:53:27,1536,2,1500,7250,FRUIT,K13-12A06
12/5/2023,14:38:45,1026,2,1026,7261,GILDAN,BOX-36
12/5/2023,14:50:32,217,5,217,7260,GILDAN,BOX-201
12/5/2023,15:27:04,2011,3,1960,7206,GILDAN,BOX-10
12/5/2023,15:32:52,117,3,117,7222,GILDAN,BOX-11
12/5/2023,16:01:16,529,0,500,7223,GILDAN,BOX-73
12/5/2023,16:01:18,529,0,500,7224,GILDAN,BOX-77
12/5/2023,16:01:25,529,0,529,7224,GILDAN,BOX-77
