Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
1/9/2024,7:26:57,2395,3,2391,8033,EMPIRE,TRW-263
1/9/2024,7:34:42,382,0,382,8036,EMPIRE,STE-0270
1/9/2024,7:56:17,1002,2,1002,8037,EMPIRE,DECOMA FONDO
1/9/2024,8:15:36,939,2,939,8038,EMPIRE,DECOMA-TAPA
1/9/2024,8:15:45,939,2,939,8038,EMPIRE,DECOMA-TAPA
1/9/2024,8:33:16,321,2,300,8039,EMPIRE,MAGNA-TAPA
1/9/2024,8:33:17,321,2,300,8040,EMPIRE,MAGNA-FONDO
1/9/2024,8:42:53,317,2,317,8040,EMPIRE,MAGNA-FONDO
1/9/2024,9:33:37,2055,30,2055,8013,ELCATEX,10X10X4
1/9/2024,10:12:27,2022,30,2022,8014,ELCATEX,10X10X10
1/9/2024,10:31:30,789,10,789,8166,FRUIT,K13-08607
1/9/2024,11:28:28,4012,5,4012,8167,FRUIT,K13-10807
1/9/2024,11:46:02,315,3,300,8168,FRUIT,K13-12A07
1/9/2024,12:24:36,3483,5,3483,8168,FRUIT,K13.13C07
1/9/2024,14:54:58,3780,15,3780,8029,GILDAN,DISP-D462
1/9/2024,15:36:33,1025,0,1025,8119,RKI,F3084-HN
1/9/2024,16:13:18,739,10,739,8125,DELPHI,LAMINA
1/9/2024,17:05:37,3033,5,3033,8142,PTS,1040077
