Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/20/2023,7:32:51,1057,15,1000,6548,EMPIRE,DECOMA-TAPA
11/20/2023,7:50:15,125,3,100,6549,EMPIRE,TRW-TAPA
11/20/2023,8:53:20,221,2,200,6551,EMPIRE,MAGNA-TAPA
11/20/2023,8:53:22,222,2,200,6552,EMPIRE,MAGNA-FONDO
11/20/2023,9:03:22,215,3,200,6552,EMPIRE,MAGNA-FONDO
11/20/2023,9:26:18,220,3,212,6651,FRUIT,K13-16A07
11/20/2023,9:44:45,508,3,500,6632,INHMESA,GRAG-1100
11/20/2023,10:00:00,500,3,500,6633,INHMESA,GRAG-O475-GS
11/20/2023,10:34:27,1516,5,1500,6539,INHMESA,GRAG-0575-GS
11/20/2023,10:50:29,501,3,500,6635,INHMESA,GRAG-O750-GS
11/20/2023,11:15:17,629,3,500,6636,INHMESA,GRAG-0900-GS
,,,,,,,
,,,,,,,
,,,,,,,
