Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/12/2023,7:10:20,2827,0,2827,7446,INHMESA,GRAG-0425
12/12/2023,7:33:33,1014,2,1014,7447,INHMESA,GRAG-1100
12/12/2023,7:59:20,511,2,510,7448,INHMESA,CB-0700
12/12/2023,8:06:45,30,4,30,5680,LEAR,IMC100
12/12/2023,8:52:28,515,4,515,7449,INHMESA,GRAP-0575-GS
12/12/2023,9:25:54,2017,2,2017,7450,INHMESA,GRAG-O425-GS
12/12/2023,9:44:43,1517,2,1517,7451,INHMESA,GRAG-O475-GS
12/12/2023,10:23:23,3007,0,3007,7452,INHMESA,GRAG-0575-GS
12/12/2023,10:54:19,506,3,506,7454,INHMESA,GRAG-O750-GS
12/12/2023,11:12:47,1014,0,1014,7455,INHMESA,GRAG-0900-GS
12/12/2023,12:13:44,628,3,620,7456,INHMESA,GRAG-1100-GS
12/12/2023,12:19:57,383,3,383,7457,INHMESA,GRAG-1250-GS
12/12/2023,12:34:42,511,2,511,7458,INHMESA,GRAG-1400-GS
12/12/2023,13:23:32,98,2,98,7551,GILDAN,BOX200
12/12/2023,13:43:42,120,2,100,7552,GILDAN,BOX201
12/12/2023,14:01:00,754,2,754,7553,GILDAN,BOX202
12/12/2023,14:17:18,226,0,226,7562,GILDAN,NKA-34
12/12/2023,14:28:36,212,2,212,7593,GILDAN,BOX-71
12/12/2023,14:43:20,320,2,320,7580,FRUIT,K13-16A07
12/12/2023,14:59:17,505,2,505,7585,FRUIT,K13-24D13
12/12/2023,15:18:49,1017,0,1017,7579,FRUIT,K13-12A06
12/12/2023,15:32:53,518,2,518,7581,FRUIT,K13-20C07
12/12/2023,17:07:47,1919,2,1919,7525,PTS,1040034-TROQ
12/12/2023,17:07:49,1919,2,1919,7525,PTS,1040034-TROQ
