Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/10/2023,8:18:55,3077,20,3000,6082,SINCLAIR,40-LBS
11/10/2023,9:50:28,1554,15,1500,6083,SINCLAIR,GENERICA
11/10/2023,10:20:54,615,5,600,6282,EMPIRE,EATON
11/10/2023,10:39:24,951,10,951,6282,EMPIRE,MANITO
11/10/2023,11:04:30,1812,4,1800,6283,EMPIRE,TRW0263
11/10/2023,11:31:01,504,4,500,6285,EMPIRE,STE0270
11/10/2023,11:38:09,114,0,100,6286,EMPIRE,CAD
11/10/2023,11:59:50,1087,2,1087,6287,EMPIRE,DECOMA FONDO
11/10/2023,12:51:53,1261,5,1100,6288,EMPIRE,DECOMA-TAPA
11/10/2023,13:05:16,120,1,100,6290,EMPIRE,TRW-FONDO
11/10/2023,13:07:02,125,1,100,6289,EMPIRE,TRW-TAPA
11/10/2023,13:18:22,441,2,300,6291,EMPIRE,MAGNA-TAPA
11/10/2023,13:36:53,321,3,300,6292,EMPIRE,MAGNA-FONDO
11/10/2023,14:10:17,1007,2,1000,6273,PTS,1040072
11/10/2023,14:42:05,993,2,993,6276,PTS,1040077
11/10/2023,15:16:46,475,2,475,6277,PTS,1040050
11/10/2023,15:16:53,475,2,475,6277,PTS,1040050
