Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/17/2023,7:17:38,3044,4,3000,6484,INHMESA,GRAG-0650-E
11/17/2023,7:43:14,519,9,500,6533,INHMESA,GRAP-0575-SW
11/17/2023,8:02:41,519,3,500,6534,INHMESA,GRAG-0425
11/17/2023,8:18:24,523,3,500,6535,INHMESA,GRAG-0575
11/17/2023,8:35:18,520,2,500,6536,INHMESA,GRAG-0625
11/17/2023,9:10:55,524,4,500,6538,INHMESA,GRAG-O425-GS
11/17/2023,9:33:33,516,3,500,6537,INHMESA,GRAP-0575-GS
11/17/2023,9:54:24,563,3,500,6539,INHMESA,GRAG-0575-GS
11/17/2023,10:25:07,521,3,500,6540,INHMESA,GRAG-0625-GS
11/17/2023,11:06:21,3085,25,3000,6649,FRUIT,K13-09706
11/17/2023,11:39:11,2998,3,2998,6650,FRUIT,K13-12809
11/17/2023,12:06:05,1164,3,1120,6651,FRUIT,K13-16A07
11/17/2023,12:25:06,1033,4,1000,6652,FRUIT,K13-20C09
11/17/2023,12:39:56,322,2,300,6655,FRUIT,K13-24D10
11/17/2023,13:57:46,497,7,497,6483,PTS,1040055
11/17/2023,14:24:19,816,3,800,6543,EMPIRE,EATON
11/17/2023,14:41:52,1276,3,1276,6543,EMPIRE,MANITO
11/17/2023,15:15:43,1693,10,1693,6544,EMPIRE,TRW0263
11/17/2023,15:29:49,304,4,300,6546,EMPIRE,STE0270
11/17/2023,15:55:32,1006,3,1000,6547,EMPIRE,DECOMA FONDO
