Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/8/2023,7:07:53,494,0,494,7314,PTS,26X16X8
12/8/2023,7:31:35,815,3,815,7352,EMPIRE,EATON
12/8/2023,8:07:07,2000,3,2000,7352,EMPIRE,MANITO
12/8/2023,8:39:24,1343,3,1343,7354,EMPIRE,TRW-263
12/8/2023,8:57:23,342,3,341,7356,EMPIRE,STE-0270
12/8/2023,9:15:08,1215,3,1215,7358,EMPIRE,DECOMA FONDO
12/8/2023,9:42:57,1238,3,1238,7359,EMPIRE,DECOMA-TAPA
12/8/2023,10:00:55,233,3,232,7360,EMPIRE,MAGNA-TAPA
12/8/2023,10:02:00,234,3,234,7476,FRUIT,K13-12A06
12/8/2023,10:02:37,234,0,232,7477,FRUIT,K13-12A09
12/8/2023,10:06:13,220,3,220,7361,EMPIRE,MAGNA-FONDO
12/8/2023,10:23:56,1039,0,1039,7476,FRUIT,K13-12A06
12/8/2023,10:48:50,66,3,66,7477,FRUIT,K13-12A09
12/8/2023,10:54:47,328,3,328,7486,FRUIT,K13-20G12
12/8/2023,12:19:32,2027,3,2000,7486,FRUIT,LHU-24G13
12/8/2023,12:42:34,518,3,518,7310,BAY ISLAND,16X12X4
12/8/2023,13:07:58,1525,3,1525,7311,BAY ISLAND,23X13X14.83
12/8/2023,13:58:52,2300,3,2300,7408,ELCATEX,10X10X4
12/8/2023,14:09:21,768,3,768,7409,ELCATEX,10X10X7
12/8/2023,14:43:41,2081,3,2081,7410,ELCATEX,121/2X121/x8
12/8/2023,14:58:06,511,0,511,7411,ELCATEX,15X10X10
12/8/2023,15:15:47,527,0,527,7412,ELCATEX,18X10X19
12/8/2023,15:52:30,334,3,334,7413,ELCATEX,20X18X12
12/8/2023,15:52:51,0,0,0,7413,ELCATEX,20X18X12
