Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/8/2023,9:58:10,527,7,500,6209,GILDAN,LID-382
11/8/2023,10:23:25,965,5,965,6232,FRUIT,K13-20G10
11/8/2023,10:36:27,216,3,200,6231,FRUIT,K13-16C10
11/8/2023,10:47:51,557,2,500,6230,FRUIT,K13-16C09
11/8/2023,11:14:30,1967,7,1967,6229,FRUIT,K13-12A06
11/8/2023,12:20:19,5166,6,5000,6228,FRUIT,K13-07606
11/8/2023,12:55:31,3072,5,3000,6174,RKI,F-3010
11/8/2023,13:20:45,229,5,215,5834,INHMESA,GRAG-0625-GS
11/8/2023,13:41:48,513,3,513,5832,INHMESA,GRAG-O425-GS
11/8/2023,16:08:49,8986,86,8986,6170,INALMA,SB-040
11/8/2023,16:40:21,2109,4,2000,6171,INALMA,TJI-010
