Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/13/2023,7:53:31,4507,0,4507,7525,PTS,1040034-TROQ
12/13/2023,10:13:45,7255,0,7255,7528,INHMESA,GRAG-0975-B
12/13/2023,11:05:54,3756,2,3756,7542,ANDIFAR,CAJA-1
12/13/2023,12:21:43,1827,2,1827,7573,ANDIFAR,CAJA-2
12/13/2023,12:54:14,2200,0,2200,7544,ANDIFAR,CAJA-3
12/13/2023,13:35:05,2990,2,2990,7545,ANDIFAR,CAJA-4
12/13/2023,14:15:32,3042,0,3042,7546,ANDIFAR,CAJA-5
12/13/2023,15:08:55,2537,0,2537,7547,ANDIFAR,CAJA-6
12/13/2023,15:48:44,1015,3,1000,7548,ANDIFAR,NOVALIFE
12/13/2023,16:15:13,1323,3,1323,7549,ANDIFAR,TEVIRIN
12/13/2023,16:41:51,1004,2,1004,7550,ANDIFAR,4 GALONES
