Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/20/2023,7:32:09,2103,3,2102,7856,INALMA,GOYA-9100
12/20/2023,7:51:31,1066,3,1066,7851,INALMA,GOYA-9102
12/20/2023,9:08:05,2086,15,2086,7852,INALMA,GOYA-9101
12/20/2023,9:41:53,1060,15,1060,7849,INALMA,TJYI-101
12/20/2023,10:03:22,1059,0,1059,7846,INALMA,SB-010
12/20/2023,10:32:02,1094,5,1094,7547,INALMA,TJI-02
12/20/2023,10:46:49,1041,3,1041,7545,INALMA,YUCA-20LBS
12/20/2023,13:22:12,4125,6,3000,7542,INALMA,SB-040
12/20/2023,14:53:18,1099,18,1000,7857,INALMA,TA-0201
12/20/2023,15:35:28,3107,10,3000,7771,FRUIT,K13-07606
12/20/2023,16:01:39,1566,10,1500,7772,FRUIT,K13-12A06
