Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
10/17/2023,7:37:20,3946,6,3946,5284,INHMESA,GRAG-0650E
10/17/2023,8:02:06,1488,2,1488,5285,INHMESA,GRAG-0425
10/17/2023,8:15:38,500,3,500,5286,INHMESA,GRAG-0475
10/17/2023,8:47:28,492,2,492,5287,INHMESA,GRAG-O900
10/17/2023,9:00:25,502,2,500,5288,INHMESA,GRAG-1100
10/17/2023,9:26:43,516,16,500,5289,INHMESA,GRAP-0575-GS
10/17/2023,9:47:40,1013,3,1000,5290,INHMESA,GRAG-O425-GS
10/17/2023,10:16:38,2012,8,2000,5291,INHMESA,GRAG-O475-GS
10/17/2023,10:47:30,2010,6,2000,5292,INHMESA,GRAG-0575
10/17/2023,11:03:22,492,2,492,5293,INHMESA,GRAG-0625-GS
10/17/2023,11:21:47,1003,3,1000,5294,INHMESA,GRAG-O750-GS
10/17/2023,12:24:45,900,3,900,5295,INHMESA,GRAG-0900-GS
10/17/2023,13:38:54,5180,30,5000,5410,FRUIT,K13-07606
10/17/2023,13:57:48,513,3,500,5296,PTS,1040037
10/17/2023,15:02:25,966,6,966,5297,PTS,1040054
10/17/2023,16:54:54,3261,21,3261,5298,PTS,1040034
