Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
10/18/2023,8:18:18,4655,50,4655,5298,PTS,1040034
10/18/2023,9:22:38,4043,33,4000,5383,INALMA,TJBI-200
10/18/2023,9:57:55,2087,15,2000,5384,INALMA,YUCA-20LBS
10/18/2023,10:34:02,1567,17,1500,5385,INALMA,JULIANAS
10/18/2023,10:44:39,75,2,50,5436,FRUIT,K13.16A09
10/18/2023,11:01:46,903,3,900,5283,BAY ISLAND,12X10X4
10/18/2023,11:16:18,215,3,200,5403,GILDAN,BOX-11
10/18/2023,11:37:22,530,4,500,5404,GILDAN,BOX-73
10/18/2023,11:55:22,527,3,500,5405,GILDAN,BOX-76
10/18/2023,12:44:10,2031,5,2000,5406,GILDAN,BOX 80-R
10/18/2023,13:16:36,1193,4,1193,5434,GILDAN,BOX72-DW
,,,,,,,
