Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/11/2023,10:18:27,10620,10,10620,7413,RKI,F-3010
12/11/2023,11:12:43,3069,10,3069,7437,RKI,F-3010
12/11/2023,12:27:39,3576,10,3576,7530,FRUIT,K13-10807
12/11/2023,12:42:46,569,0,569,7531,FRUIT,K13-12A09
12/11/2023,13:05:59,696,2,696,7532,FRUIT,K13-16A10
12/11/2023,13:30:27,551,2,551,7460,PTS,1040039
12/11/2023,14:01:54,1012,3,1012,7523,PTS,1040077
12/11/2023,14:21:16,1020,3,1020,7521,PTS,1040072
12/11/2023,14:35:12,214,3,214,7425,FRUIT,K13-24D10
12/11/2023,14:51:21,501,0,501,7443,INHMESA,GR-0750
12/11/2023,15:22:40,3037,3,3037,7444,INHMESA,GRAG-0650-E
12/11/2023,16:20:52,1012,3,1012,7445,INHMESA,IMP-2015
12/11/2023,17:09:13,1801,3,1801,7446,INHMESA,GRAG-0425
