Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/7/2023,8:01:19,20179,6,20000,7137,LEAR,HSC1-231409
12/7/2023,9:15:23,1545,6,1545,7428,FRUIT,24G13
12/7/2023,9:15:26,1545,6,1545,7428,FRUIT,24G13
12/7/2023,9:16:01,1545,6,1545,7428,FRUIT,24G13
12/7/2023,11:37:19,3198,3,3198,7277,TIARA,TYV-BOX2
12/7/2023,12:26:41,2027,3,2027,7428,FRUIT,24G13
12/7/2023,12:49:09,332,3,300,7425,FRUIT,K13-24D10
12/7/2023,12:59:28,317,2,317,7422,FRUIT,K13-20C07
12/7/2023,13:16:36,513,2,500,7421,FRUIT,K13-16A07
12/7/2023,13:34:20,1042,2,1042,7420,FRUIT,K13-12A06
12/7/2023,13:52:59,1024,3,1000,7419,FRUIT,K13-09706
12/7/2023,14:18:32,1042,3,1042,7275,PTS,1040072
12/7/2023,14:36:42,499,0,499,7276,PTS,1040038
12/7/2023,14:41:31,499,2,498,5459,BAY-ISLAND,X-6
12/7/2023,15:04:52,492,2,492,7312,PETRALEX,NATBOXNYLA
