Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
1/10/2024,7:04:39,213,0,213,8246,GILDAN,BOX72-DW
1/10/2024,7:26:52,507,3,507,8242,GILDAN,BOX-54
1/10/2024,7:57:03,325,2,325,8240,GILDAN,BOX-42-DW
1/10/2024,8:27:51,312,0,312,8244,GILDAN,BOX-52
1/10/2024,8:53:19,617,3,617,8239,GILDAN,BOX-41-DW
1/10/2024,9:11:32,423,3,423,8245,GILDAN,BOX-11
1/10/2024,9:27:34,116,3,116,8194,GILDAN,BOX-15
1/10/2024,9:38:05,420,2,420,8195,GILDAN,BOX-73
1/10/2024,9:58:45,518,2,518,8205,FRUIT,K13.13C07
1/10/2024,10:14:24,318,3,318,8206,FRUIT,K13-20C07
1/10/2024,10:33:22,335,3,334,8209,FRUIT,K13-24D10
1/10/2024,10:37:49,207,3,207,8210,FRUIT,K13-24D13
1/10/2024,11:28:35,504,3,504,8143,PTS,1040051GRIS
1/10/2024,12:54:14,3461,10,3461,8144,PTS,1040034-TROQ
1/10/2024,13:25:32,1027,3,1000,8193,INALMA,GOYA-9105
1/10/2024,15:08:41,8945,3,8945,8192,INALMA,GOYA-9047
1/10/2024,15:35:51,981,0,981,8191,INALMA,GOYA-9101-S
