Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/6/2023,8:39:04,1842,5,1800,5970,LEAR,EHS2-201114
11/6/2023,9:14:26,67,3,50,5872,LEAR,EHS1-232111
11/6/2023,9:26:14,627,2,600,5871,LEAR,ELD1-201102
11/6/2023,9:41:38,213,2,200,6080,LEAR,IBOX-231407H
11/6/2023,10:14:20,536,15,500,6048,PETRALEX,CN-666
11/6/2023,10:43:42,1530,5,1500,6050,PETRALEX,MDT-29X68
11/6/2023,11:06:55,1033,5,1000,6051,PETRALEX,MDT-29X64
11/6/2023,11:20:55,1029,4,1000,6128,GILDAN,BOX-109
11/6/2023,11:40:03,368,3,350,6125,GILDAN,BOX-76
11/6/2023,12:02:17,270,3,250,6159,GILDAN,BOX-11
11/6/2023,12:19:02,413,3,400,6160,GILDAN,BOX-71
11/6/2023,12:58:09,817,3,800,6163,GILDAN,NKA-25
11/6/2023,13:31:45,425,3,415,6164,GILDAN,LID-382
11/6/2023,13:31:45,425,3,415,6164,GILDAN,LID-382
11/6/2023,13:53:56,1485,5,1400,5975,AQUAFINCA,33180050
11/6/2023,14:11:55,480,1,470,5977,AQUAFINCA,33180061
11/6/2023,14:40:26,1038,5,1000,6072,INALMA,GOYA-9100
11/6/2023,16:01:54,6958,5,6958,6071,INALMA,GOYA-9047
