Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
11/28/2023,8:03:16,2938,3,2938,6922,PTS,1040064
11/28/2023,9:27:59,1121,4,1121,6919,INHMESA,DISPLAY-BASE
11/28/2023,9:54:59,519,3,519,6913,INHMESA,GRAG-1000
11/28/2023,10:07:20,519,3,519,6914,INHMESA,GRAG-1100
11/28/2023,10:38:01,537,3,536,6918,INHMESA,GRAG-0900-GS
11/28/2023,11:00:30,1517,3,1517,6917,INHMESA,GRAP-0575-GS
11/28/2023,11:26:57,1027,3,1027,6916,INHMESA,GRAG-O425-GS
11/28/2023,12:35:39,516,3,516,6915,INHMESA,GRAP-O425-GS
11/28/2023,13:13:52,585,5,585,6978,PTS,1040097
11/28/2023,13:30:10,677,3,677,7010,FRUIT,K13-16A09
11/28/2023,14:07:25,347,3,340,7013,FRUIT,K13-24D10
11/28/2023,14:41:46,2626,3,2626,6901,TIARA,TYV-BOX2
