Date,Time,TOTALES,DEFECTOS,PEDIDO,#ORDEN,CLIENTE,ESTILO
12/14/2023,7:07:28,616,2,616,7623,FRUIT,K13-16A07
12/14/2023,8:43:40,2049,2,2049,7615,INALMA,COMIDA-VIDA
12/14/2023,9:16:25,1062,2,1062,7572,INALMA,CUBITOS
12/14/2023,10:31:47,7352,2,7352,7569,INALMA,TJI-020
12/14/2023,11:06:58,2088,0,2088,7568,INALMA,TJBI-200
12/14/2023,12:40:32,4073,0,4073,7567,INALMA,TJI-027
12/14/2023,12:41:06,4073,0,4073,7567,INALMA,TJI-027
12/14/2023,13:05:17,1061,0,1061,7566,INALMA,SB-034
12/14/2023,13:45:14,2079,0,2079,7576,INALMA,GOYA-9100
12/14/2023,14:15:20,1060,0,1060,7575,INALMA,GOYA-9047
12/14/2023,14:42:03,1033,0,1033,7574,INALMA,GOYA-9099
12/14/2023,15:26:17,3098,0,3098,7573,INALMA,GOYA-9101
12/14/2023,15:45:24,1003,2,1003,7605,PTS,1040071
